"v_timeStamp","v_libraryCard","v_libraryVisits","v_itemsYear","v_scifiYear","v_DoULike_Novel","v_DoULike_YA","v_DoULike_SS","v_DoULike_Audio","v_printVsE","v_bookChoice[0]","v_bookChoice[1]","v_bookChoice[2]","v_bookChoice[3]","v_bookChoice[4]","v_bookChoice[5]","v_bookChoice[6]","v_bookChoice[7]","v_bookChoice[8]","v_bookChoice[9]","v_bookChoice[10]","v_bookChoice[11]","v_bookChoiceOthr","v_DescribU_IndProf","v_DescribU_Academic","v_DescribU_ProWriter","v_DescribU_Teacher","v_DescribU_Librarian","v_Age","v_Education","v_Gender","v_HHPeeps","v_HHIncome","v_Zip"
"2018/04/26 9:23:53 PM MDT","2","4","4","4","1","1","1","1","1","3","3","1","3","4","3","3","3","4","3","3","3","","0","0","0","0","1","4","7","1","2","3","80026"
"2018/04/26 9:29:06 PM MDT","2","4","4","3","1","1","0","1","6","2","3","2","4","4","3","2","5","4","3","3","4","","0","0","0","0","1","4","7","1","1","2","-1"
"2018/04/26 9:44:02 PM MDT","2","1","1","1","1","1","1","1","2","4","3","5","4","4","3","2","2","3","3","3","3","","0","0","0","0","1","4","7","1","1","3","91203"
"2018/04/26 9:44:15 PM MDT","2","4","4","3","1","1","0","0","5","2","3","4","4","4","3","1","2","2","2","4","1","","0","0","0","0","1","5","7","1","1","3","52001"
"2018/04/26 9:46:44 PM MDT","2","4","4","4","1","1","1","1","1","1","3","3","3","4","3","2","2","3","1","3","2","","0","0","0","0","1","5","7","2","3","3","19344"
"2018/04/26 9:53:59 PM MDT","2","4","3","3","1","1","0","0","1","3","3","2","3","3","2","1","2","5","2","2","3","Cover is important--whether it shows up in my Amazon recommendations or it's displayed face-out on the new shelf.","0","0","0","0","1","6","6","2","2","2","61356"
"2018/04/26 10:00:23 PM MDT","2","4","4","3","1","1","0","0","1","3","3","5","3","4","2","2","3","3","2","3","3","","0","0","0","0","1","5","7","1","1","3","92841"
"2018/04/26 10:07:17 PM MDT","2","2","3","1","0","0","0","0","3","1","4","3","4","5","4","2","1","1","2","3","3","","0","0","0","0","0","6","7","2","2","4","93711"
"2018/04/26 10:19:31 PM MDT","2","4","2","2","1","1","0","1","3","1","3","4","4","5","1","1","3","2","1","1","1","","0","0","0","0","1","5","7","2","1","3","95134"
"2018/04/26 10:26:37 PM MDT","2","4","4","3","1","0","1","1","3","2","3","1","3","2","3","1","1","2","4","3","4","","0","0","0","0","1","4","7","2","2","4","90066"
"2018/04/26 10:34:43 PM MDT","2","4","2","2","1","1","1","1","2","2","3","2","3","4","2","4","2","2","1","4","3","","0","0","0","0","1","5","7","1","2","3","92301"
"2018/04/26 10:52:59 PM MDT","2","4","4","4","1","1","0","0","1","2","3","3","4","3","1","1","1","3","3","3","3","","0","0","0","0","1","4","7","1","2","4","95112"
"2018/04/26 10:53:26 PM MDT","2","4","4","3","1","1","0","1","5","3","3","2","3","3","4","2","1","5","2","4","3","","0","0","0","0","1","5","7","1","2","4","90807"
"2018/04/26 10:56:48 PM MDT","2","4","3","2","1","1","0","1","2","1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","","0","0","0","0","0","5","7","1","1","3","98112"
"2018/04/26 10:57:43 PM MDT","2","2","1","1","1","1","0","0","5","3","3","3","3","2","1","2","2","2","1","3","2","","0","0","0","1","0","4","7","1","2","2","-1"
"2018/04/26 11:03:05 PM MDT","2","4","3","2","1","1","0","1","2","1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","","0","0","0","0","0","5","7","1","1","3","98112"
"2018/04/26 11:05:17 PM MDT","2","4","2","1","1","1","0","1","4","2","3","5","3","5","4","3","1","4","1","4","3","","0","0","0","0","1","4","6","1","1","2","74012"
"2018/04/26 11:28:39 PM MDT","2","4","4","4","1","1","1","1","2","1","4","4","3","4","4","3","3","2","2","2","2","","1","0","0","0","1","6","5","1","2","2","61054"
"2018/04/26 11:39:23 PM MDT","2","4","3","2","1","1","1","1","5","3","3","3","3","5","3","3","3","4","3","4","4","","0","0","0","0","1","5","7","1","2","5","-1"
"2018/04/26 11:57:28 PM MDT","2","4","4","2","1","1","1","1","6","3","4","3","3","4","4","2","3","5","3","4","3","","0","0","0","0","1","5","7","1","2","4","94928"
"2018/04/27 12:30:24 AM MDT","2","3","4","3","1","1","1","0","4","3","3","4","4","4","4","1","2","4","4","4","2","","0","0","0","0","0","5","8","2","2","-1","91208"
